Office Type,Name,State_abbrev,State_num,Total_Population,Race_White,Race_Black,Race_AmerInd,Race_Asian,Race_PacIsl,Race_Other,Race_TwoOrMore,Agg_Household_Income,Inc_Pov_Ratio_below_50,Inc_Pov_Ratio_50_74,Inc_Pov_Ratio_75_99,Inc_Pov_Ratio_100_124,Inc_Pov_Ratio_125_149,Inc_Pov_Ratio_150_174,Inc_Pov_Ratio_175_184,Inc_Pov_Ratio_185_199,Inc_Pov_Ratio_200_299,Inc_Pov_Ratio_300_399,Inc_Pov_Ratio_400_499,Inc_Pov_Ratio_above_500,Age_18_19,Age_20,Age_21,Age_22_24,Age_25_29,Age_30_34,Age_35_39,Age_40_44,Age_45_49,Age_50_54,Age_55_59,Age_60_61,Age_62_64,Age_65_66,Age_67_69,Age_70_74,Age_75_79,Age_80_84,Age_85_over,lean_magnitude,lean_party,battleground,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?
Governor,Florida,FL,12,21299325,15899574,3410741,59870,593634,12841,708740,613925,624496488000,1230013,708425,902539,1018748,972514,1062909,419224,664555,3714794,2969288,2079348,5140294,513735,261392,259599,734599,1419979,1338536,1324913,1261791,1351627,1390341,1449290,588625,818239,530273,760940,1113021,836522,557028,561000,5,R,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
Senator,Florida,FL,12,21299325,15899574,3410741,59870,593634,12841,708740,613925,624496488000,1230013,708425,902539,1018748,972514,1062909,419224,664555,3714794,2969288,2079348,5140294,513735,261392,259599,734599,1419979,1338536,1324913,1261791,1351627,1390341,1449290,588625,818239,530273,760940,1113021,836522,557028,561000,5,R,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
Governor,Georgia,GA,13,10519475,6127645,3319691,34485,436051,14049,301148,286406,313705061200,668662,359477,440503,485481,473339,476560,190746,298590,1690872,1403908,1016488,2734032,318632,155739,147178,416461,746413,695830,713553,687491,712970,683360,667863,261531,352733,205941,291113,399894,259680,157000,142800,12,R,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Governor,Hawaii,HI,15,1420491,345652,28325,3237,534479,144971,18052,345775,46970414400,61108,26138,34897,41368,40128,47274,18385,33957,193308,208290,169809,507786,31052,16735,17313,56547,103541,97484,95076,86465,85662,85728,86295,39611,54260,35928,48645,64799,41413,30609,40073,36,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senator,Hawaii,HI,15,1420491,345652,28325,3237,534479,144971,18052,345775,46970414400,61108,26138,34897,41368,40128,47274,18385,33957,193308,208290,169809,507786,31052,16735,17313,56547,103541,97484,95076,86465,85662,85728,86295,39611,54260,35928,48645,64799,41413,30609,40073,36,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Governor,Iowa,IA,19,3156145,2846099,115137,11494,79971,3463,30713,69268,97845775500,154683,86918,101903,127847,115872,128549,48366,86420,532203,501960,357577,813641,97829,47667,43754,128714,202415,192092,209351,174266,181897,187499,213657,82249,123548,74532,96291,128510,94950,67919,75616,6,R,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Governor,Idaho,ID,16,1754208,1576846,12075,23026,27026,2763,59217,53255,46976264100,82577,54699,65988,92336,85218,93509,34159,61604,348402,258397,181317,364948,49241,23318,22390,70142,117630,110450,111259,108454,102704,98431,111993,38604,64781,42148,54376,71873,52724,28617,29703,35,R,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Governor,Illinois,IL,17,12741080,9135145,1793079,35846,717938,5317,712778,340977,444765385000,695247,371920,442080,488742,473130,513090,198976,315327,1930143,1684836,1327753,4006027,339876,166172,168413,504441,898483,867034,846741,797649,814897,821157,855616,344960,469291,272714,369458,501157,355876,231775,259568,13,D,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Senator,Indiana,IN,18,6691878,5539927,637277,14040,154220,3470,162303,180641,191645590200,396763,203653,252222,290464,278171,304620,120081,172854,1168148,1019351,763547,1519387,191489,101297,93576,270566,457140,417106,435830,390643,417088,424662,447600,175177,251501,149994,199966,263739,189014,121856,126577,18,R,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Governor,Kansas,KS,20,2911510,2446823,171141,26829,82444,2929,73293,108051,89507057200,143862,86305,108008,122357,122745,132208,52412,79287,502234,435906,306699,733657,85924,44217,41966,122826,193041,183381,186456,172991,169006,170677,189925,75505,108253,68311,88962,106777,78558,55797,63786,23,R,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
