Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,Party,Rep Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,FEC_name,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS
Michael Grusenmeyer,OH,U.S. House Ohio District 16,Representative,Regular,5/8/2018,Lost,None,None,,6.15,No,,,,,,,,,,,,,,,,,,,,,Republican,No,,,,No,No,No,,,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Burgess,OH,U.S. House Ohio District 3,Representative,Regular,5/8/2018,Advanced,None,On the Ballot,,93.1,Yes,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdulkadir Haji,OH,U.S. House Ohio District 3,Representative,Regular,5/8/2018,Lost,None,None,,6.9,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Kraus,OH,U.S. House Ohio District 9,Representative,Regular,5/8/2018,Advanced,None,On the Ballot,,49.45,Yes,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Colton,OH,U.S. House Ohio District 9,Representative,Regular,5/8/2018,Lost,None,None,,29.86,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,"COLTON, KEITH C",H8OH09087,"COLTON, KEITH C",C,2.0,REP,7000.0,0.0,6888.0,0.0,0.0,112.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,OH,9.0,,,,,,0.0,0.0,03/31/2018,0.0,0.0
W. Benjamin Franklin,OH,U.S. House Ohio District 9,Representative,Regular,5/8/2018,Lost,None,None,,20.7,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Renacci,OH,U.S. Senate Ohio,Senator,Regular,5/8/2018,Advanced,None,On the Ballot,,47.34,Yes,,,,,,,,,,,,,,,,,,,,,Republican,,Yes,,,Yes,Yes,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Eckhart,OH,U.S. Senate Ohio,Senator,Regular,5/8/2018,Lost,None,None,,3.88,No,,,,,,,,,,,,,,,,,,,,,Republican,,No,,,No,No,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Gibbons,OH,U.S. Senate Ohio,Senator,Regular,5/8/2018,Lost,None,None,,31.69,No,,,,,,,,,,,,,,,,,,,,,Republican,,No,,,No,No,,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissa Ackison,OH,U.S. Senate Ohio,Senator,Regular,5/8/2018,Lost,None,None,,13.09,No,,,,,,,,,,,,,,,,,,,,,Republican,,No,,,No,No,,,No,,No,,,"ACKISON, MELISSA",S8OH00094,"ACKISON, MELISSA",C,2.0,REP,38378.0,0.0,47019.0,0.06,0.0,0.8,1071.0,0.0,0.0,0.0,0.0,0.0,37307.0,OH,0.0,,,,,,0.0,0.0,05/25/2018,0.0,0.0
Dan Kiley,OH,U.S. Senate Ohio,Senator,Regular,5/8/2018,Lost,None,None,,3.99,No,,,,,,,,,,,,,,,,,,,,,Republican,,No,,,No,No,,,No,,No,,,"KILEY, DAN",S8OH00110,"KILEY, DAN",C,2.0,REP,1106376.5,0.0,1065570.15,0.0,0.0,40806.35,0.0,1100000.0,0.0,900000.0,0.0,200000.0,6376.5,OH,0.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0
Mick Cornett,OK,Governor of Oklahoma,Governor,Regular,6/26/2018,Advanced,Lost,None,,29.34,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Stitt,OK,Governor of Oklahoma,Governor,Regular,6/26/2018,Advanced,Advanced,On the Ballot,,24.41,Yes,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Barnett,OK,Governor of Oklahoma,Governor,Regular,6/26/2018,Lost,None,None,,1.16,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Fisher,OK,Governor of Oklahoma,Governor,Regular,6/26/2018,Lost,None,None,,7.91,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Foutch,OK,Governor of Oklahoma,Governor,Regular,6/26/2018,Lost,None,None,,0.51,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry Gowdy,OK,Governor of Oklahoma,Governor,Regular,6/26/2018,Lost,None,None,,0.52,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Jones,OK,Governor of Oklahoma,Governor,Regular,6/26/2018,Lost,None,None,,5.58,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Lamb,OK,Governor of Oklahoma,Governor,Regular,6/26/2018,Lost,None,None,,23.86,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Richardson,OK,Governor of Oklahoma,Governor,Regular,6/26/2018,Lost,None,None,,4.02,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Cowboy Stephens,OK,Governor of Oklahoma,Governor,Regular,6/26/2018,Lost,None,None,,2.7,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Hern,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/2018,Advanced,Advanced,On the Ballot,,22.68,Yes,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,No,,No,,Yes,,"HERN, KEVIN R",H8OK01157,"HERN, KEVIN R",O,2.0,REP,2940362.08,0.0,2874702.46,0.0,0.0,65659.62,2700.0,900000.0,649750.0,125000.0,0.0,1424750.0,1039379.37,OK,1.0,,,,,,337700.0,0.0,12/31/2018,8200.0,0.0
Tim Harris,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/2018,Advanced,Lost,None,,27.48,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,No,,No,,"HARRIS, TIM",H8OK01165,"HARRIS, TIM",O,2.0,REP,487812.1,0.0,477645.22,0.0,0.0,10166.88,250.0,130000.0,0.0,0.0,0.0,130000.0,356362.77,OK,1.0,,,,,,0.0,0.0,12/31/2018,6750.0,0.0
Nathan Dahm,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/2018,Lost,None,None,,20.17,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,No,,No,,"DAHM, NATHAN",H0OK01089,"DAHM, NATHAN",O,2.0,REP,142317.0,0.0,140882.95,0.0,0.0,1434.05,0.0,5500.0,0.0,0.0,0.0,5500.0,131233.72,OK,1.0,,,,,,4710.0,0.0,12/31/2018,6400.0,0.0
Andy Coleman,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/2018,Lost,None,None,,21.85,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,Yes,,No,,"COLEMAN, ANDY",H8OK01124,"COLEMAN, ANDY",O,2.0,REP,412018.14,0.0,393137.62,0.0,0.0,18830.52,789.54,0.0,0.0,0.0,0.0,0.0,375432.18,OK,1.0,,,,,,33422.9,0.0,12/31/2018,47075.0,0.0
Danny Stockstill,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/2018,Lost,None,None,,7.83,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,No,,No,,"STOCKSTILL, DANNY",H8OK01140,"STOCKSTILL, DANNY",O,2.0,REP,32192.0,0.0,26332.65,0.0,0.0,5859.35,0.0,0.0,0.0,0.0,0.0,0.0,32072.0,OK,1.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0
Knute Buehler,OR,Governor of Oregon,Governor,Regular,5/15/2018,Advanced,None,On the Ballot,,45.9,Yes,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Cuff,OR,Governor of Oregon,Governor,Regular,5/15/2018,Lost,None,None,,1.55,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Carpenter,OR,Governor of Oregon,Governor,Regular,5/15/2018,Lost,None,None,,28.85,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Smith,OR,Governor of Oregon,Governor,Regular,5/15/2018,Lost,None,None,,1.49,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keenan Bohach,OR,Governor of Oregon,Governor,Regular,5/15/2018,Lost,None,None,,0.25,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Tacy,OR,Governor of Oregon,Governor,Regular,5/15/2018,Lost,None,None,,0.16,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Wooldridge,OR,Governor of Oregon,Governor,Regular,5/15/2018,Lost,None,None,,20.08,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Edwards (Oregon),OR,Governor of Oregon,Governor,Regular,5/15/2018,Lost,None,None,,0.27,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brett Hyland,OR,Governor of Oregon,Governor,Regular,5/15/2018,Lost,None,None,,0.24,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Stauffer,OR,Governor of Oregon,Governor,Regular,5/15/2018,Lost,None,None,,0.67,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Verbeek,OR,U.S. House Oregon District 1,Representative,Regular,5/15/2018,Advanced,None,On the Ballot,,50.61,Yes,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Griffith,OR,U.S. House Oregon District 1,Representative,Regular,5/15/2018,Lost,None,None,,40.72,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,"GRIFFITH, GEORGE",H8OR01221,"GRIFFITH, GEORGE",C,2.0,REP,917.0,0.0,754.91,0.0,0.0,162.09,0.0,0.0,0.0,0.0,0.0,2600.0,917.0,OR,1.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0
Preston Miller,OR,U.S. House Oregon District 1,Representative,Regular,5/15/2018,Lost,None,None,,7.71,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Robinson,OR,U.S. House Oregon District 4,Representative,Regular,5/15/2018,Advanced,None,On the Ballot,,45.51,Yes,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,Yes,,,,,,,,"ROBINSON, ART DR.",H0OR04081,"ROBINSON, ART DR.",C,2.0,REP,204914.49,0.0,168255.13,0.0,9884.83,46569.19,0.0,0.0,0.0,500.0,0.0,38816.21,204914.49,OR,4.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0
Jo Rae Perkins,OR,U.S. House Oregon District 4,Representative,Regular,5/15/2018,Lost,None,None,,20.81,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,Yes,,,,,,,,"PERKINS, JO RAE",H6OR04203,"PERKINS, JO RAE",C,2.0,REP,14868.29,0.0,11256.17,0.0,232.85,3547.12,795.4,5831.3,0.0,597.0,0.0,5234.3,8221.59,OR,4.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0
Stefan Strek,OR,U.S. House Oregon District 4,Representative,Regular,5/15/2018,Lost,None,None,,3.36,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Court Boice,OR,U.S. House Oregon District 4,Representative,Regular,5/15/2018,Lost,None,None,,23.62,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,Yes,,,,,,,,"BOICE, COURT",H8OR04142,"BOICE, COURT",C,2.0,REP,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,OR,4.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0
Michael Polen,OR,U.S. House Oregon District 4,Representative,Regular,5/15/2018,Lost,None,None,,5.95,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Callahan,OR,U.S. House Oregon District 5,Representative,Regular,5/15/2018,Advanced,None,On the Ballot,,61.9,Yes,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joey Nations,OR,U.S. House Oregon District 5,Representative,Regular,5/15/2018,Lost,None,None,,20.61,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Reynolds,OR,U.S. House Oregon District 5,Representative,Regular,5/15/2018,Lost,None,None,,16.64,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Wagner,PA,Governor of Pennsylvania,Governor,Regular,5/15/2018,Advanced,None,On the Ballot,,44.3,Yes,,,,,,,,,,,,,,,,,,,,,Republican,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laura Ellsworth,PA,Governor of Pennsylvania,Governor,Regular,5/15/2018,Lost,None,None,,18.83,No,,,,,,,,,,,,,,,,,,,,,Republican,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Mango,PA,Governor of Pennsylvania,Governor,Regular,5/15/2018,Lost,None,None,,36.87,No,,,,,,,,,,,,,,,,,,,,,Republican,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Joyce,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/2018,Advanced,None,On the Ballot,,22.02,Yes,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,No,,No,,Yes,,"JOYCE, JOHN",H8PA13125,"JOYCE, JOHN",C,2.0,REP,1522103.44,309.93,1461761.17,0.0,0.0,60342.27,0.0,906423.0,0.0,0.0,0.0,296000.0,218203.0,PA,13.0,,,,,,391177.51,5990.0,12/31/2018,500.0,2500.0
Art Halvorson,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/2018,Lost,None,None,,15.33,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Eichelberger,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/2018,Lost,None,None,,19.77,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,No,,No,,"EICHELBERGER, JOHN H. JR.",H8PA09024,"EICHELBERGER, JOHN H. JR.",C,2.0,REP,195405.06,0.0,194255.06,0.0,0.0,1150.0,100.0,50256.5,0.0,0.0,0.0,50256.5,134548.56,PA,13.0,,,,,,10500.0,0.0,12/31/2018,10818.2,0.0
Stephen Bloom,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/2018,Lost,None,None,,18.16,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,Yes,,No,,"BLOOM, STEPHEN",H8PA11061,"BLOOM, STEPHEN",O,2.0,REP,349627.49,0.0,349627.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322484.45,PA,13.0,,,,,,24742.0,0.0,06/30/2018,14800.0,3072.96
Travis Schooley,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/2018,Lost,None,None,,4.51,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,No,,No,,"SCHOOLEY, TRAVIS",H2PA09092,"SCHOOLEY, TRAVIS",C,2.0,REP,23704.0,0.0,23320.0,0.0,29.0,406.0,5760.0,0.0,0.0,0.0,0.0,0.0,17943.0,PA,13.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0
Doug Mastriano,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/2018,Lost,None,None,,15.6,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernard Washabaugh II,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/2018,Lost,None,None,,2.84,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,No,,No,,"WASHABAUGH, BERNARD II",H8PA13141,"WASHABAUGH, BERNARD II",C,2.0,REP,0.0,0.0,0.0,0.0,0.0,1542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PA,13.0,,,,,,0.0,0.0,04/15/2018,0.0,0.0
Benjamin Hornberger,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/2018,Lost,None,None,,1.77,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,No,,No,,"HORNBERGER, BENJAMIN",H0PA09039,"HORNBERGER, BENJAMIN",O,2.0,REP,475.9,0.0,573.57,0.0,0.0,-57.67,85.0,0.0,0.0,0.0,0.0,0.0,390.0,PA,9.0,,,,,,0.0,0.0,03/31/2018,0.0,0.0
Guy Reschenthaler,PA,U.S. House Pennsylvania District 14,Representative,Regular,5/15/2018,Advanced,None,On the Ballot,,55.19,Yes,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,No,,Yes,,"RESCHENTHALER, GUY MR.",H8PA18199,"RESCHENTHALER, GUY MR.",O,2.0,REP,1090673.35,182.3,1072888.04,0.0,0.0,17785.31,0.0,23000.0,0.0,23000.0,0.0,31726.45,560442.77,PA,14.0,,,,,,501490.0,5000.0,12/31/2018,350.0,7900.0
Rick Saccone,PA,U.S. House Pennsylvania District 14,Representative,Regular,5/15/2018,Lost,None,None,,44.81,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,Yes,,Yes,,No,,"SACCONE, RICK",H8PA18231,"SACCONE, RICK",O,2.0,REP,2040980.87,169955.53,2011655.16,4850.96,0.0,29325.71,0.0,11000.0,0.0,11000.0,0.0,0.0,1335750.1,PA,14.0,,,,,,452334.56,10100.0,12/31/2018,20300.0,7710.87
Rick Saccone,PA,U.S. House Pennsylvania District 14,Representative,Regular,5/15/2018,Lost,None,None,,44.81,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,Yes,,Yes,,No,,"SACCONE, RICK",S8PA00239,"SACCONE, RICK",C,2.0,REP,51207.0,0.0,73263.0,41899.0,0.0,0.0,0.0,0.0,0.0,11000.0,0.0,0.0,47617.0,PA,0.0,,,,,,3500.0,90.0,01/10/2018,0.0,0.0
David Torres,PA,U.S. House Pennsylvania District 2,Representative,Regular,5/15/2018,Advanced,None,On the Ballot,,100.0,Yes,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Leib,PA,U.S. House Pennsylvania District 3,Representative,Regular,5/15/2018,Advanced,None,On the Ballot,,100.0,Yes,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,"LEIB, BRYAN",H6PA01165,"LEIB, BRYAN",C,1.0,DEM,18077.0,0.0,11021.05,0.0,0.0,2165.54,0.0,0.0,0.0,0.0,0.0,0.0,17377.0,PA,3.0,,,,,,0.0,700.0,09/30/2018,0.0,0.0
Dan David,PA,U.S. House Pennsylvania District 4,Representative,Regular,5/15/2018,Advanced,None,On the Ballot,,100.0,Yes,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,"DAVID, DAN",H8PA15286,"DAVID, DAN",O,2.0,REP,510412.7,0.0,508247.93,0.0,0.0,2164.77,0.0,268152.06,0.0,0.0,0.0,268152.06,223730.39,PA,4.0,,,,,,17530.25,1000.0,12/31/2018,300.0,0.0
Pearl Kim,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/2018,Advanced,None,On the Ballot,,100.0,Yes,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,"KIM, PEARL",H8PA05295,"KIM, PEARL",C,2.0,REP,521262.95,0.0,521262.95,0.0,0.0,0.0,0.0,199999.94,0.0,43040.12,0.0,0.0,301129.76,PA,5.0,,,,,,19783.25,200.0,12/31/2018,570.0,0.0
Greg McCauley,PA,U.S. House Pennsylvania District 6,Representative,Regular,5/15/2018,Advanced,None,On the Ballot,,100.0,Yes,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marty Nothstein,PA,U.S. House Pennsylvania District 7,Representative,Regular,5/15/2018,Advanced,None,On the Ballot,,50.49,Yes,,,,,,,,,,,,,,,,,,,,,Republican,Yes,,,,,,,,,,,,,"NOTHSTEIN, MARTY MR.",H8PA15245,"NOTHSTEIN, MARTY MR.",O,2.0,REP,985643.72,0.0,958873.74,1535.0,0.0,26769.98,300.0,145000.0,0.0,75000.0,0.0,70000.0,611185.92,PA,7.0,,,,,,223856.6,5000.0,12/31/2018,5400.0,500.0
Dean Browning,PA,U.S. House Pennsylvania District 7,Representative,Regular,5/15/2018,Lost,None,None,,49.51,No,,,,,,,,,,,,,,,,,,,,,Republican,No,,,,,,,,,,,,,"BROWNING, DEAN",H8PA15260,"BROWNING, DEAN",O,2.0,REP,226600.0,0.0,226593.72,0.0,0.0,6.28,0.0,170000.0,0.0,0.0,0.0,170000.0,56600.0,PA,7.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0
John Chrin,PA,U.S. House Pennsylvania District 8,Representative,Regular,5/15/2018,Advanced,None,On the Ballot,,48.47,Yes,,,,,,,,,,,,,,,,,,,,,Republican,Yes,,,,,,,,,,,,,"CHRIN, JOHN R",H8PA17050,"CHRIN, JOHN R",C,2.0,REP,2989012.26,182.3,2985347.94,0.0,0.0,3664.32,1203682.32,1180000.0,0.0,696500.0,0.0,483500.0,406508.58,PA,8.0,,,,,,175000.0,9997.16,12/31/2018,2700.0,0.0
Robert Kuniegel,PA,U.S. House Pennsylvania District 8,Representative,Regular,5/15/2018,Lost,None,None,,16.66,No,,,,,,,,,,,,,,,,,,,,,Republican,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Peters,PA,U.S. House Pennsylvania District 8,Representative,Regular,5/15/2018,Lost,None,None,,34.87,No,,,,,,,,,,,,,,,,,,,,,Republican,No,,,,,,,,,,,,,"PETERS, JOE",H8PA11103,"PETERS, JOE",O,2.0,REP,83384.0,0.0,83384.0,0.0,0.0,0.0,200.0,40000.0,0.0,0.0,0.0,0.0,43184.0,PA,8.0,,,,,,0.0,0.0,05/31/2018,0.0,0.0
Dan Meuser,PA,U.S. House Pennsylvania District 9,Representative,Regular,5/15/2018,Advanced,None,On the Ballot,,52.94,Yes,,,,,,,,,,,,,,,,,,,,Yes,Republican,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Uehlinger,PA,U.S. House Pennsylvania District 9,Representative,Regular,5/15/2018,Lost,None,None,,23.1,No,,,,,,,,,,,,,,,,,,,,No,Republican,No,,,,,,,,,,,,,"UEHLINGER, SCOTT",H8PA15237,"UEHLINGER, SCOTT",O,2.0,REP,118199.0,0.0,118088.59,0.0,0.0,110.41,0.0,15000.0,0.0,500.0,0.0,14500.0,100199.0,PA,9.0,,,,,,3000.0,0.0,12/31/2018,7300.0,0.0
George Halcovage,PA,U.S. House Pennsylvania District 9,Representative,Regular,5/15/2018,Lost,None,None,,23.97,No,,,,,,,,,,,,,,,,,,,,No,Republican,No,,,,,,,,,,,,,"HALCOVAGE, GEORGE F. JR.",H8PA09073,"HALCOVAGE, GEORGE F. JR.",O,2.0,REP,252052.27,0.0,252052.27,0.0,0.0,0.0,0.0,7500.0,0.0,7500.0,0.0,0.0,242531.7,PA,9.0,,,,,,1000.0,0.0,12/31/2018,50.0,0.0
Lou Barletta,PA,U.S. Senate Pennsylvania,Senator,Regular,5/15/2018,Advanced,None,On the Ballot,,63.03,Yes,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,Yes,,,,,"BARLETTA, LOU",H2PA11098,"BARLETTA, LOU",I,2.0,REP,7508783.74,369827.79,7867336.65,88070.0,402910.61,44356.35,0.0,0.0,0.0,42020.0,65000.0,0.0,6221241.84,PA,11.0,,,,,,896123.79,2120.0,12/31/2018,74365.2,28500.0
Lou Barletta,PA,U.S. Senate Pennsylvania,Senator,Regular,5/15/2018,Advanced,None,On the Ballot,,63.03,Yes,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,Yes,,,,,"BARLETTA, LOU",S8PA00320,"BARLETTA, LOU",C,2.0,REP,7407078.74,281757.79,7760181.65,88070.0,397460.61,44356.35,0.0,0.0,0.0,0.0,0.0,0.0,6220106.84,PA,0.0,,,,,,883623.79,2120.0,12/31/2018,74365.2,28500.0
Jim Christiana,PA,U.S. Senate Pennsylvania,Senator,Regular,5/15/2018,Lost,None,None,,36.97,No,,,,,,,,,,,,,,,,,,,,,Republican,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
